text,label
Visit Lift,Health
Do Restaurant,Social
Schedule Running,Health
Do Walk,Health
Schedule Christmas,Social
Go for Vegetables,Health
Schedule Governors State,School
Goto Internship,Work
Update,Work
Finish Mechanic,Errands
Get Call Dad,Personal
Get Read,School
Finish Bed,Personal
Do 4th of JulyPhone,Social
Get Fruit,Health
Finish Work,Work
Finish Trash,Errands
Pay 4th of JulyPhone,Social
Finish Workout,Health
Visit Garden,Errands
Do Gathering,Social
Finish Recruiter,Work
Visit 4th of JulyPhone,Social
Finish Update,Work
Surgery,Health
Do Computer,Work
Get Design,Work
Schedule Shave,Personal
Mail,Errands
Get Nails,Personal
Go for Design,Work
Visit DMV,Errands
Go for Bar,Social
Do Call Mom,Personal
Finish University,School
Visit Decoration,Personal
Finish Guitar,Personal
Finish Wash,Personal
Get Food,Errands
Goto BrushMeditate,Personal
Get Catering,Social
College,School
Get Jump rope,Health
Do Mechanic,Errands
Finish Doctor,Health
Get Birthday,Social
Go for Beard,Personal
Do Restaurant,Social
Visit Meet,Social
Goto Mechanic,Errands
Do Teacher,School
Pay Medicine,Health
Do Insurance,Errands
Taxes,Errands
Goto Doctor,Health
Do Personal,Personal
Goto Protein,Health
Schedule Car,Errands
Go for FoodGas station,Errands
Do Garden,Errands
Pay Water,Health
Goto Coworker,Work
Pay Water,Health
Goto Governors State,School
Pay Hair,Personal
Go for Call Dad,Personal
Finish Doctor,Health
Finish Thanksgiving,Social
Do Internship,Work
Pay Cook,Personal
Schedule Catering,Social
Visit Boss,Work
Schedule Birthday,Social
Schedule Groceries,Errands
Visit Lift weights,Health
Go for Project,Work
Goto Quiz,School
Do Therapist,Health
Meet,Social
Goto Read,School
Schedule Project,Work
Taxes,Errands
Visit Family,Social
Go for Computer,Work
Do Read,School
Goto Shower,Personal
Goto Sibling,Social
Go for Insurance,Errands
Go for Plant,Errands
Goto Design,Work
Mail,Errands
Do Job,Work
Goto School,School
Visit Situps,Health
Dry,Personal
Do Water,Health
Meeting,Work
Get Mechanic,Errands
Family,Social
Schedule Event,Social
Schedule Groceries,Errands
Go for Bank,Errands
Do Email,Work
Schedule Lecture,School
Schedule Call,Social
Schedule Movie,Social
Do Governors State,School
Do Trash,Errands
Visit Family,Social
Goto Project,Work
Get Therapist,Health
Pay Meeting,Work
Goto School,School
Finish Dishes,Personal
Do Bank,Errands
Go for Restaurant,Social
Pay Fruit,Health
Get Gathering,Social
Go for 4th of JulyPhone,Social
Design,Work
Pay Study,School
Movie,Social
Get Job,Work
Pay Walk,Health
Room,Personal
Do Vitamin,Health
Do Refund,Errands
Get Fruit,Health
Goto Portfolio,Work
Do Workout,Health
Do Beard,Personal
Get Internship,Work
Do Book,School
Schedule Weight,Health
Get Recruiter,Work
Pay Work,Work
Go for University,School
Goto Coworker,Work
Pay Kitchen,Personal
Do Car,Errands
Pay New Year's,Social
Finish Garbage,Errands
Schedule Recruiter,Work
Get Car,Errands
Finish Vacuum,Personal
Pay Computer,Work
Do Sibling,Social
Go for Decoration,Personal
Goto Catering,Social
Pay Hobby,Personal
Goto Design,Work
Schedule Running,Health
Schedule Wash,Personal
Pay Doctor,Health
Schedule Jog,Health
4th of JulyPhone,Social
Go for Meet,Social
Visit Birthday,Social
Finish Art,School
Schedule Gym,Health
Schedule Dad,Social
Pay Movie,Social
Goto Face,Personal
Visit Health,Health
Schedule Bar,Social
Go for Beard,Personal
Garden,Errands
Finish Garden,Errands
Visit Homework,School
Schedule Shower,Personal
Workout,Health
Visit Weight,Health
Goto Meeting,Work
Get Computer,School
Finish Write,School
Go for Art,School
Finish Medicine,Health
Visit Mail,Errands
Finish Club,Social
Do Hobby,Personal
Go for Email,School
Goto Movie,Social
Goto Hair,Personal
Finish Elliptical,Health
Pay Project,Work
Go for Fruit,Health
Gym,Health
Goto Project,School
Visit Food,Errands
Goto Room,Personal
Do Gym,Health
Schedule Programming,Work
Pay DMV,Errands
Schedule Thanksgiving,Social
Get Boss,Work
Health,Health
Pay Mall,Errands
Go for College,School
Do Health,Health
Get Mail,Errands
Schedule Project,School
Visit Portfolio,Work
Goto Party,Social
Catering,Social
Pay 4th of JulyPhone,Social
Do Mail,Errands
Finish Hobby,Personal
Go for Programming,Work
Do Gym,Health
Schedule Homework,School
Visit Design,Work
Goto Catering,Social
Pay Client,Work
Schedule Read,School
Schedule Call Mom,Personal
Get Recruiter,Work
Do Clothes,Personal
Visit Garbage,Errands
Pay Birthday,Social
Get Hand,Personal
Get DMV,Errands
Finish Water,Health
Finish Kitchen,Personal
Do Sibling,Social
Pay Jump rope,Health
Do Vegetables,Health
Finish Water,Health
Pay Water,Health
Get Gathering,Social
Schedule University,School
Doctor,Health
Visit Bill,Errands
Finish Study,School
Schedule Mechanic,Errands
Get Service,Errands
Do Interview,Work
Email,School
Pay Christmas,Social
Schedule Situps,Health
Do Meeting,Work
Insurance,Errands
Get Lunch,Errands
Pay Decoration,Personal
Do Shave,Personal
Finish Coworker,Work
Get Teacher,School
Goto Boss,Work
Schedule Birthday,Social
Do Bill,Errands
Go for Email,Work
Visit Weight,Health
Get Meeting,Work
Schedule Garden,Errands
Goto Party,Social
Meeting,Work
Finish Store,Errands
Schedule Lift,Health
Pay Interview,Work
Do Portfolio,Work
Finish Call Mom,Personal
Goto College,School
Do Event,Social
Go for Clean,Errands
Get Boss,Work
Finish Lift weights,Health
Goto Jump rope,Health
Finish Homework,School
Visit Mom,Social
Pay Catering,Social
Do Bar,Social
Pay Weight,Health
Pay Gym,Health
Pay Birthday,Social
Get Boss,Work
Doctor,Health
Schedule Clothes,Personal
Schedule Internship,Work
Finish Christmas,Social
Schedule Guitar,Personal
Go for Portfolio,Work
Do Recruiter,Work
Read,School
Goto Write,School
Visit Workout,Health
Pay Professor,School
Schedule Exam,School
Goto Decoration,Personal
Homework,School
Get Restaurant,Social
Finish Mom,Social
Finish Decoration,Personal
Pay Meeting,Work
Visit Governors State,School
Do Room,Personal
Finish Hobby,Personal
Do Bill,Errands
Pay Internship,Work
Schedule Party,Social
Get Food,Social
Get Art,Personal
Pay Coworker,Work
Workout,Health
Exam,School
Get Refund,Errands
Go for Professor,School
Visit Therapist,Health
Do Bed,Personal
Visit Vegetables,Health
Visit Movie,Social
Pay Write,School
Mechanic,Errands
Get Pharmacy,Errands
Finish Clothes,Personal
Do Situps,Health
Get Cook,Personal
Go for College,School
Schedule House,Personal
Goto Programming,Work
Visit Therapist,Health
Get Gym,Health
Go for Workout,Health
Pay Vegetables,Health
Do Mail,Errands
Pay Book,School
Schedule College,School
Pay Computer,School
Schedule Car,Errands
Finish 4th of JulyPhone,Social
Go for Programming,Work
Finish Dry,Personal
Goto Deadline,Work
Get Exam,School
Get Report,Work
Goto Computer,Work
Do Interview,Work
Schedule Meeting,Work
Protein,Health
Schedule Vegetables,Health
Get Store,Errands
Finish Programming,Work
Project,School
Schedule Running,Health
Schedule Thanksgiving,Social
Get FoodGas station,Errands
Get Christmas,Social
Schedule Computer,Work
Do Therapist,Health
Do Store,Errands
Goto Professor,School
Go for Run,Health
Visit Mail,Errands
Go for Water,Health
Schedule Trash,Errands
Pay Mall,Errands
Get Hand,Personal
Pay Project,Work
Pay Computer,School
Finish Email,School
Visit Refund,Errands
Goto Food,Errands
Car,Errands
Schedule Lift weights,Health
Schedule FoodGas station,Errands
Goto Bank,Errands
Finish Deadline,Work
Do Gathering,Social
Garden,Errands
Pay Lunch,Errands
Goto Hobby,Personal
Get Bank,Errands
Go for DMV,Errands
Schedule Governors State,School
Quiz,School
Get Doctor,Health
Do Milk,Errands
Do Coworker,Work
Get Surgery,Health
Catering,Social
Goto Doctor,Health
Goto Programming,Work
Visit Client,Work
Do Project,Work
Do Manager,Work
Do Fruit,Health
Insurance,Errands
Pay 4th of JulyPhone,Social
Schedule Update,Work
Finish Pushups,Health
Go for Beard,Personal
Goto Job,Work
Goto Laundry,Personal
Pay Body,Personal
Go for Manager,Work
Do Milk,Errands
Therapist,Health
Do Store,Errands
Visit Quiz,School
Pay Party,Social
Do Family,Social
Go for Bill,Errands
Get Email,Work
Professor,School
Schedule Bar,Social
Goto Surgery,Health
Visit Body,Personal
Schedule Lift weights,Health
Do New Year's,Social
Schedule Project,School
Goto Garbage,Errands
Finish Update,Work
Get New Year's,Social
Do Write,School
Do Room,Personal
Vacuum,Personal
Visit Christmas,Social
Do Email,School
Go for Kitchen,Personal
Visit Personal,Personal
Get Mop,Personal
Goto Homework,School
Go for Work,Work
Do New Year's,Social
Study,School
Goto Birthday,Social
Money,Errands
Visit FoodGas station,Errands
Schedule Wash,Personal
Get Food,Social
Visit Meeting,Work
Finish Health,Health
Pay Call,Social
Goto Groceries,Errands
Schedule Jump rope,Health
Goto Garden,Errands
Visit University,School
Do Walk,Health
Pay Food,Errands
Get Store,Errands
Visit Teacher,School
Go for Elliptical,Health
Pay Lecture,School
Go for Birthday,Social
Goto FoodGas station,Errands
Elliptical,Health
Get Taxes,Errands
Goto Mop,Personal
Schedule Read,School
Visit New Year's,Social
Finish Lecture,School
Get Read,School
Gathering,Social
Goto Weight,Health
Finish Work,Work
Schedule Dinner,Errands
Restaurant,Social
Goto Doctor,Health
Schedule Surgery,Health
Visit Interview,Work
Goto Refund,Errands
Schedule Thanksgiving,Social
Get Project,Work
Get Fruit,Health
Goto Hair,Personal
Do Wash,Personal
Schedule Groceries,Errands
Do Family,Social
Visit Wash,Personal
Finish Meeting,Work
Get Gathering,Social
Finish Art,Personal
Go for Recruiter,Work
Do Mop,Personal
Schedule Lift,Health
Do Garden,Errands
Gym,Health
Schedule Governors State,School
Finish Walk,Health
House,Personal
Go for Coworker,Work
Go for Recruiter,Work
Get Breakfest,Errands
Finish Family,Social
Finish Teacher,School
Go for Hair,Personal
Go for Wash,Personal
Do Vacuum,Personal
Schedule Money,Errands
Go for Hair,Personal
Visit Christmas,Social
Do Jog,Health
Visit Kitchen,Personal
Do Lecture,School
Do Coworker,Work
Go for Food,Social
Schedule Weight,Health
Goto Meet,Social
Go for Internship,Work
Go for Party,Social
Finish Food,Social
Read,School
Finish Party,Social
Finish Write,School
House,Personal
Goto Professor,School
Visit Pharmacy,Errands
Pay Nails,Personal
Goto Running,Health
Therapist,Health
Visit Mom,Social
Pay Plant,Errands
Visit Clean,Errands
Do Meeting,Work
Goto Programming,Work
Finish Exam,School
Finish Therapist,Health
Do Work,Work
Go for DMV,Errands
Schedule Vitamin,Health
Food,Social
Finish Exam,School
Goto Hand,Personal
Do Email,School
Visit Refund,Errands
Schedule Jump rope,Health
Visit Report,Work
Visit Taxes,Errands
Schedule Boss,Work
Pay Pushups,Health
Goto Walk,Health
Finish Breakfest,Errands
Get Meet,Social
Visit Lab,School
Vacuum,Personal
Go for Update,Work
Visit Body,Personal
Get Food,Errands
Go for Therapist,Health
Visit Fruit,Health
Workout,Health
Pay Bar,Social
Goto Medicine,Health
Go for Restaurant,Social
College,School
Go for Email,School
Get Vacuum,Personal
Goto Thanksgiving,Social
Pay Taxes,Errands
Get Programming,Work
Do Vitamin,Health
Visit Doctor,Health
Pay Weight,Health
Pay Meeting,Work
Schedule Exam,School
Finish College,School
Pay Run,Health
Finish Mail,Errands
Get Christmas,Social
Pay College,School
Finish Garden,Errands
Schedule Professor,School
Pay Book,School
Pay Bank,Errands
Finish Event,Social
Pay Pushups,Health
Goto Governors State,School
Schedule New Year's,Social
Goto Running,Health
Do Medicine,Health
Schedule Pushups,Health
Go for Bed,Personal
Refund,Errands
Go for Lab,School
Get Refund,Errands
Do BrushMeditate,Personal
Go for Clean,Errands
Goto Personal,Personal
Go for Bar,Social
Project,Work
Go for Bill,Errands
Get Lift weights,Health
Schedule Gym,Health
Goto Pharmacy,Errands
Clean,Errands
Finish Design,Work
Pay Nails,Personal
Goto Hand,Personal
Go for Dry,Personal
Finish Manager,Work
Go for Trash,Errands
Visit Update,Work
Pay Medicine,Health
Do Stretch,Health
Finish College,School
Schedule Personal,Personal
Medicine,Health
Visit Deadline,Work
Visit Computer,Work
Email,Work
Do Exam,School
Visit Write,School
Pay Update,Work
Pay Shower,Personal
Get Exam,School
Visit Game,Social
Goto Situps,Health
Finish Surgery,Health
Goto Refund,Errands
School,School
Pay 4th of JulyPhone,Social
Goto Pushups,Health
Goto Doctor,Health
Finish Boss,Work
Do Exam,School
Go for Exam,School
Finish Call Dad,Personal
Garbage,Errands
Do Meet,Social
Do Lift,Health
Goto Mall,Errands
Pay Run,Health
Breakfest,Errands
Pay Club,Social
Get Clean,Errands
Visit Lift,Health
Pay Garbage,Errands
Do FoodGas station,Errands
Visit Vitamin,Health
Visit Body,Personal
Finish Professor,School
Visit Vacuum,Personal
Do Garden,Errands
Visit Work,Work
Do Lift weights,Health
Get Design,Work
Goto Interview,Work
Refund,Errands
Lab,School
Nails,Personal
Pay Vacuum,Personal
Get Lecture,School
Write,School
Goto Protein,Health
Goto Beard,Personal
Goto Hand,Personal
Visit Lab,School
Gathering,Social
Pay Running,Health
Do Lecture,School
Get New Year's,Social
Visit BrushMeditate,Personal
Finish Store,Errands
Schedule Sibling,Social
Pay Vacuum,Personal
Do Friends,Social
Do Taxes,Errands
Do Clothes,Personal
Visit Money,Errands
Visit Thanksgiving,Social
Visit Lift weights,Health
Weight,Health
Get Art,Personal
Pay School,School
Get Programming,Work
Visit Running,Health
Visit Design,Work
Finish Food,Social
Pay Deadline,Work
Do Mom,Social
Goto Refund,Errands
Pay Plant,Errands
Homework,School
Goto Elliptical,Health
Goto FoodGas station,Errands
Pay Store,Errands
Pushups,Health
Get Homework,School
Get Clothes,Personal
Finish Milk,Errands
Schedule Face,Personal
Pay Refund,Errands
Schedule Design,Work
Schedule School,School
Do Meeting,Work
Do Bank,Errands
Finish Friends,Social
Goto Service,Errands
University,School
Pay Dad,Social
Dry,Personal
Schedule Elliptical,Health
Pay Elliptical,Health
Finish Dry,Personal
Get Lunch,Errands
Goto Computer,Work
Schedule Professor,School
Goto Restaurant,Social
Goto Vegetables,Health
Goto Garden,Errands
Do Shower,Personal
Get Milk,Errands
Visit Portfolio,Work
Goto Write,School
Get Governors State,School
Visit Pushups,Health
Do Car,Errands
Finish Report,Work
Room,Personal
Go for Read,School
Hobby,Personal
Get Food,Social
Goto Pushups,Health
Go for Guitar,Personal
Book,School
Schedule Trash,Errands
Hand,Personal
Visit Pushups,Health
Goto Wash,Personal
Finish Movie,Social
Call Dad,Personal
Visit Job,Work
Goto Garden,Errands
Schedule Shower,Personal
Pay Interview,Work
Pay Garbage,Errands
Go for Project,School
Schedule Programming,Work
Goto Milk,Errands
Get Hand,Personal
Finish Party,Social
Do Party,Social
Go for Thanksgiving,Social
Schedule New Year's,Social
Do Update,Work
Schedule Computer,School
Do Guitar,Personal
Go for Exam,School
Finish Taxes,Errands
Visit Mop,Personal
Go for Body,Personal
Goto Recruiter,Work
Pay Pharmacy,Errands
Schedule Breakfest,Errands
Schedule Beard,Personal
Do Lecture,School
Get Deadline,Work
Goto Money,Errands
Go for Book,School
Go for Write,School
Do Face,Personal
Do Dinner,Errands
Go for Call,Social
Schedule Pushups,Health
Pay Homework,School
Pay Stretch,Health
Design,Work
Go for Shave,Personal
Do Lecture,School
Do Sibling,Social
Meet,Social
Pay Professor,School
Do Birthday,Social
Goto Running,Health
Finish Boss,Work
Finish Taxes,Errands
Goto Coworker,Work
Visit Vegetables,Health
Write,School
Goto Exam,School
Pay Insurance,Errands
Goto Call Mom,Personal
Go for Nails,Personal
Go for Water,Health
Do FoodGas station,Errands
Governors State,School
Go for Beard,Personal
Get Study,School
Do Garbage,Errands
Schedule Thanksgiving,Social
Do Lecture,School
Goto Meeting,Work
Schedule Thanksgiving,Social
Visit Game,Social
Vitamin,Health
Schedule Dad,Social
Finish Weight,Health
Visit Jump rope,Health
Game,Social
Pay Event,Social
Do Service,Errands
Goto Trash,Errands
Go for Quiz,School
Do Running,Health
Finish Client,Work
Visit Mall,Errands
Get Weight,Health
Do Hair,Personal
Visit Project,School
Go for Mop,Personal
Schedule Meet,Social
Schedule Trash,Errands
Finish Plant,Errands
Do Read,School
Go for Family,Social
Portfolio,Work
Do BrushMeditate,Personal
Mechanic,Errands
Finish House,Personal
Goto Doctor,Health
Milk,Errands
Visit Lab,School
Finish Recruiter,Work
Pay Party,Social
Schedule College,School
Get Email,Work
Beard,Personal
Get Internship,Work
Goto Bed,Personal
Do Vacuum,Personal
Pay BrushMeditate,Personal
Go for College,School
Goto Mom,Social
Go for Lift weights,Health
Pay 4th of JulyPhone,Social
Finish House,Personal
Get Mop,Personal
Goto Kitchen,Personal
Visit Manager,Work
Get Programming,Work
Go for Restaurant,Social
Finish 4th of JulyPhone,Social
Goto Project,School
Get Breakfest,Errands
Interview,Work
Do Exam,School
Pay Therapist,Health
Pay Mail,Errands
Go for Room,Personal
Schedule Write,School
Visit Personal,Personal
Nails,Personal
Do Sibling,Social
Study,School
Go for DMV,Errands
FoodGas station,Errands
Finish Beard,Personal
Go for Art,School
Go for Pushups,Health
Goto Coworker,Work
Finish Project,School
Art,School
Schedule Email,School
Pay Room,Personal
Go for College,School
Get Call Dad,Personal
Visit Run,Health
Schedule Mechanic,Errands
Schedule Money,Errands
Visit Party,Social
Get Meet,Social
Get Room,Personal
Schedule Plant,Errands
Finish Book,School
Get Weight,Health
Finish Stretch,Health
Lunch,Errands
Get Shave,Personal
Get Interview,Work
Visit Bar,Social
Schedule Elliptical,Health
Do University,School
Pay Running,Health
Schedule Portfolio,Work
Schedule Work,Work
Finish Family,Social
Pay Interview,Work
Medicine,Health
Get Update,Work
Pay Read,School
Go for Bill,Errands
Visit Bar,Social
Get Stretch,Health
Pay Recruiter,Work
Schedule Design,Work
Schedule Programming,Work
Finish Call Dad,Personal
Visit Doctor,Health
Pay School,School
Finish Mechanic,Errands
Get Groceries,Errands
Visit Health,Health
Visit Plant,Errands
Get Governors State,School
Finish Job,Work
Schedule Meet,Social
Finish Report,Work
Schedule Write,School
Schedule Garbage,Errands
Do Store,Errands
Pay Governors State,School
Pay Nails,Personal
Goto Surgery,Health
Get Garbage,Errands
Goto Clothes,Personal
Pay Family,Social
Lecture,School
Get Coworker,Work
Pay Study,School
Finish Christmas,Social
Visit Internship,Work
Kitchen,Personal
Pay Game,Social
Refund,Errands
Design,Work
Visit Service,Errands
College,School
Do Doctor,Health
Finish BrushMeditate,Personal
Do Hand,Personal
Update,Work
Do Game,Social
Visit DMV,Errands
Schedule Art,Personal
Schedule Clothes,Personal
Pay Plant,Errands
Visit College,School
Go for School,School
Get Call Dad,Personal
Do Plant,Errands
Get Thanksgiving,Social
Go for DMV,Errands
Finish Teacher,School
Pay Recruiter,Work
Go for Kitchen,Personal
Do Meeting,Work
Get Mechanic,Errands
Do Bed,Personal
Finish BrushMeditate,Personal
Pay Gathering,Social
Pay Coworker,Work
Do Decoration,Personal
Pay Quiz,School
Goto Clothes,Personal
Finish Client,Work
Schedule Clean,Errands
Clothes,Personal
Pay Hand,Personal
Go for Mall,Errands
Pay Exam,School
Go for Christmas,Social
Do Email,School
Schedule Store,Errands
Finish Project,School
Goto Programming,Work
Go for 4th of JulyPhone,Social
Finish College,School
Pay Vacuum,Personal
Go for Health,Health
Goto Doctor,Health
Get Service,Errands
Schedule Meeting,Work
Get Service,Errands
Get Computer,Work
Visit Surgery,Health
Finish Portfolio,Work
Visit Plant,Errands
Do Dishes,Personal
Do Store,Errands
Pay Job,Work
Do Pharmacy,Errands
Do Portfolio,Work
Visit Wash,Personal
Go for Walk,Health
Do Wash,Personal
Do College,School
Visit Lab,School
Get Quiz,School
Art,School
Store,Errands
Finish Lunch,Errands
Go for Client,Work
Do Walk,Health
Pay University,School
Family,Social
Goto BrushMeditate,Personal
Pay Catering,Social
Go for Call,Social
Schedule Pharmacy,Errands
Go for Plant,Errands
Goto Exam,School
Visit Interview,Work
Get Email,School
Get Hair,Personal
Get Report,Work
Schedule Restaurant,Social
Get Design,Work
Goto Family,Social
Get Report,Work
Pay Breakfest,Errands
Internship,Work
Get School,School
Schedule Lecture,School
Schedule Meet,Social
Get Guitar,Personal
Finish Garbage,Errands
Birthday,Social
Go for Meeting,Work
Gym,Health
Go for Fruit,Health
Get Bar,Social
Goto Meeting,Work
Do Dad,Social
Visit DMV,Errands
Visit Workout,Health
Go for Write,School
Go for Exam,School
Finish Jump rope,Health
Get Milk,Errands
Finish Thanksgiving,Social
Do House,Personal
Get Lab,School
Go for Internship,Work
Do Vegetables,Health
Get Mechanic,Errands
Do Food,Social
Visit Weight,Health
Get Deadline,Work
Visit Elliptical,Health
Pay Lift,Health
Finish Interview,Work
Finish Food,Errands
Do Recruiter,Work
Goto Event,Social
Visit Health,Health
Finish Lift weights,Health
Goto Read,School
Do Therapist,Health
Do Kitchen,Personal
Lecture,School
Goto Weight,Health
Schedule Fruit,Health
Get Job,Work
Schedule Sibling,Social
Game,Social
Car,Errands
Pay Art,School
Pay Birthday,Social
Go for College,School
Schedule Report,Work
Pay Game,Social
Get Portfolio,Work
Go for Design,Work
Goto Computer,School
Pay Coworker,Work
Pay Computer,School
Get Lunch,Errands
Finish Doctor,Health
Mall,Errands
Visit Bar,Social
Visit Vacuum,Personal
Finish Birthday,Social
Homework,School
Do Jog,Health
Go for Event,Social
Finish Catering,Social
Schedule Medicine,Health
Visit Bill,Errands
College,School
Quiz,School
Goto Restaurant,Social
Goto Write,School
Do Room,Personal
Get Game,Social
Visit Workout,Health
Visit Beard,Personal
Get Coworker,Work
Do Friends,Social
Pay Thanksgiving,Social
Pay BrushMeditate,Personal
Doctor,Health
Visit Call Dad,Personal
Get College,School
Finish Weight,Health
Go for Mail,Errands
Schedule Vegetables,Health
Pay Mom,Social
Pay Protein,Health
Get Job,Work
Goto Money,Errands
Go for Report,Work
Do Thanksgiving,Social
Pay Clean,Errands
Fruit,Health
Schedule Portfolio,Work
Do Birthday,Social
Visit Lecture,School
Pay Book,School
Schedule Club,Social
Get Deadline,Work
Finish Meet,Social
Visit Lift,Health
Visit Elliptical,Health
Event,Social
Go for Boss,Work
Finish Gathering,Social
Goto Bar,Social
Finish Movie,Social
Get Store,Errands
Finish Read,School
Schedule Family,Social
House,Personal
Finish Lab,School
Go for Email,Work
Finish Bill,Errands
Get Room,Personal
